team,link,stadium_name,total_capacity,lawn_heating,field_length,field_width
Borussia Dortmund,/borussia-dortmund/spielplan/verein/16/saison_id/,SIGNAL IDUNA PARK,81.365,ja,105,68
VfL Wolfsburg,/vfl-wolfsburg/spielplan/verein/82/saison_id/,Volkswagen Arena,28.917,ja,105,68
FC Bayern München,/fc-bayern-munchen/spielplan/verein/27/saison_id/,Allianz Arena,75.000,ja,105,68
Arminia Bielefeld,/arminia-bielefeld/spielplan/verein/10/saison_id/,SchücoArena,27.332,ja,105,68
SC Freiburg,/sc-freiburg/spielplan/verein/60/saison_id/,Europa-Park Stadion,34.700,ja,105,68
TSG 1899 Hoffenheim,/tsg-1899-hoffenheim/spielplan/verein/533/saison_id/,PreZero Arena,30.150,ja,105,68
Borussia Mönchengladbach,/borussia-monchengladbach/spielplan/verein/18/saison_id/,Stadion im Borussia-Park,54.042,ja,105,68
Bayer 04 Leverkusen,/bayer-04-leverkusen/spielplan/verein/15/saison_id/,BayArena,30.210,ja,105,68
VfR Aalen,/vfr-aalen/spielplan/verein/83/saison_id/,CENTUS Arena,14.500,ja,,
1.FC Kaiserslautern,/1-fc-kaiserslautern/spielplan/verein/2/saison_id/,Fritz-Walter-Stadion,49.350,ja,105,68
SG Dynamo Dresden,/sg-dynamo-dresden/spielplan/verein/129/saison_id/,Rudolf-Harbig-Stadion,32.123,ja,105,68
1.FC Köln,/1-fc-koln/spielplan/verein/3/saison_id/,RheinEnergieSTADION,50.000,ja,105,68
SV Werder Bremen,/sv-werder-bremen/spielplan/verein/86/saison_id/,Weserstadion,42.100,ja,105,68
RB Leipzig,/rasenballsport-leipzig/spielplan/verein/23826/saison_id/,Red Bull Arena,47.069,ja,105,68
Eintracht Braunschweig,/eintracht-braunschweig/spielplan/verein/23/saison_id/,EINTRACHT-Stadion,23.325,ja,105,68
Kickers Offenbach,/kickers-offenbach/spielplan/verein/107/saison_id/,Stadion am Bieberer Berg,20.500,ja,,
Hannover 96,/hannover-96/spielplan/verein/42/saison_id/,Heinz-von-Heiden-Arena,49.000,ja,105,68
Chemnitzer FC,/chemnitzer-fc/spielplan/verein/21/saison_id/,Stadion - An der Gellertstraße,15.200,ja,,
Karlsruher SC,/karlsruher-sc/spielplan/verein/48/saison_id/,BBBank Wildpark,32.190,ja,105,68
Hertha BSC,/hertha-bsc/spielplan/verein/44/saison_id/,Olympiastadion Berlin,74.667,ja,105,68
FC St. Pauli,/fc-st-pauli/spielplan/verein/35/saison_id/,Millerntor-Stadion,29.546,ja,105,68
SpVgg Greuther Fürth,/spvgg-greuther-furth/spielplan/verein/65/saison_id/,Sportpark Ronhof | Thomas Sommer,16.626,ja,105,68
VfL Bochum,/vfl-bochum/spielplan/verein/80/saison_id/,Vonovia Ruhrstadion,26.000,ja,105,68
MSV Duisburg,/msv-duisburg/spielplan/verein/52/saison_id/,Schauinsland-Reisen-Arena,31.502,ja,105,68
1.FC Magdeburg,/1-fc-magdeburg/spielplan/verein/187/saison_id/,Avnet-Arena,30.098,ja,105,68
Würzburger Kickers,/wurzburger-kickers/spielplan/verein/1557/saison_id/,AKON ARENA,13.090,ja,105,68
TSV 1860 München,/tsv-1860-munchen/spielplan/verein/72/saison_id/,Städtisches Stadion an der Grünwalder Straße,15.000,ja,,
FC Erzgebirge Aue,/fc-erzgebirge-aue/spielplan/verein/94/saison_id/,Erzgebirgsstadion,15.500,ja,105,70
Hamburger SV,/hamburger-sv/spielplan/verein/41/saison_id/,Volksparkstadion,57.000,ja,105,68
FSV Frankfurt,/fsv-frankfurt/spielplan/verein/293/saison_id/,PSD Bank Arena,12.542,ja,,
1.FC Heidenheim 1846,/1-fc-heidenheim-1846/spielplan/verein/2036/saison_id/,Voith-Arena,15.000,ja,105,68
Eintracht Frankfurt,/eintracht-frankfurt/spielplan/verein/24/saison_id/,Deutsche Bank Park,58.000,ja,105,68
1.FSV Mainz 05,/1-fsv-mainz-05/spielplan/verein/39/saison_id/,Mewa Arena,33.305,ja,105,68
SV Alemannia Waldalgesheim,/sv-alemannia-waldalgesheim/spielplan/verein/5446/saison_id/,Stadion an der Waldstraße,3.500,nein,,
1.FC Nürnberg,/1-fc-nurnberg/spielplan/verein/4/saison_id/,Max-Morlock-Stadion,50.000,ja,105,68
SV Waldkirch,/sv-waldkirch/spielplan/verein/9487/saison_id/,Elztalstadion,,,,
FC 08 Homburg,/fc-08-homburg/spielplan/verein/459/saison_id/,Waldstadion Homburg,16.488,nein,105,68
FSV Optik Rathenow,/fsv-optik-rathenow/spielplan/verein/562/saison_id/,Stadion Vogelgesang,5.000,nein,,
Bremer SV,/bremer-sv/spielplan/verein/1328/saison_id/,Stadion am Panzenberg,8.000,nein,,
VfB Stuttgart,/vfb-stuttgart/spielplan/verein/79/saison_id/,MHPArena Stuttgart,60.449,ja,105,68
FC Viktoria Köln,/fc-viktoria-koln/spielplan/verein/1622/saison_id/,Sportpark Höhenberg,8.343,ja,,
Stuttgarter Kickers,/stuttgarter-kickers/spielplan/verein/71/saison_id/,GAZi-Stadion auf der Waldau,11.544,ja,105,67
FT Braunschweig,/ft-braunschweig/spielplan/verein/5460/saison_id/,FT-Stadion im Prinzenpark (A-Platz),3.500,nein,,
FC-Astoria Walldorf,/fc-astoria-walldorf/spielplan/verein/1348/saison_id/,Dietmar-Hopp-Sportpark,5.000,nein,,
SV Wehen Wiesbaden,/sv-wehen-wiesbaden/spielplan/verein/108/saison_id/,BRITA-Arena,12.518,ja,,
BFC Viktoria 89 (- 2013),/bfc-viktoria-89/spielplan/verein/10968/saison_id/,Friedrich-Ebert-Stadion (Hauptplatz),5.000,nein,109,73
Sportfreunde Siegen,/sportfreunde-siegen/spielplan/verein/63/saison_id/,Leimbachstadion,18.716,nein,105,67
FV Illertissen,/fv-illertissen/spielplan/verein/1468/saison_id/,Vöhlinstadion im Sportzentrum Nautilla,4.000,nein,,
USC Paloma Hamburg,/usc-paloma-hamburg/spielplan/verein/6150/saison_id/,Jonny Rehbein Sportplatz,500,nein,,
BSV Schwarz-Weiß Rehden,/bsv-schwarz-weiss-rehden/spielplan/verein/5560/saison_id/,Waldsportstätten (A-Platz),4.464,nein,,
Holstein Kiel,/holstein-kiel/spielplan/verein/269/saison_id/,Holstein-Stadion,15.034,ja,104,68
FC Carl Zeiss Jena,/fc-carl-zeiss-jena/spielplan/verein/113/saison_id/,ad hoc Arena im Ernst-Abbe-Sportfeld,15.000,ja,105,68
1.FC Neubrandenburg 04,/1-fc-neubrandenburg-04/spielplan/verein/1279/saison_id/,neu.sw-Stadion im Jahn-Sportpark,5.000,nein,,
SV Sandhausen,/sv-sandhausen/spielplan/verein/254/saison_id/,GP Stadion am Hardtwald,15.414,ja,,
Preußen Münster,/preussen-munster/spielplan/verein/91/saison_id/,Preußenstadion,12.794,ja,105,68
Fortuna Düsseldorf,/fortuna-dusseldorf/spielplan/verein/38/saison_id/,MERKUR SPIEL-ARENA,54.600,ja,105,68
SV Eintracht Trier 05,/sv-eintracht-trier-05/spielplan/verein/104/saison_id/,Moselstadion,10.256,nein,90,0
FC Augsburg,/fc-augsburg/spielplan/verein/167/saison_id/,WWK ARENA,30.660,ja,105,68
SC Paderborn 07,/sc-paderborn-07/spielplan/verein/127/saison_id/,Home Deluxe Arena,15.000,ja,110,70
SV Darmstadt 98,/sv-darmstadt-98/spielplan/verein/105/saison_id/,Merck-Stadion am Böllenfalltor,17.810,ja,105,68
1.FC Union Berlin,/1-fc-union-berlin/spielplan/verein/89/saison_id/,Stadion An der Alten Försterei,22.012,ja,105,68
FC Ingolstadt 04,/fc-ingolstadt-04/spielplan/verein/4795/saison_id/,Audi Sportpark,15.200,ja,105,68
FC Energie Cottbus,/fc-energie-cottbus/spielplan/verein/25/saison_id/,LEAG Energie Stadion,20.602,ja,105,68
FC Schalke 04,/fc-schalke-04/spielplan/verein/33/saison_id/,Veltins-Arena,62.271,ja,105,68
SpVgg Unterhaching,/spvgg-unterhaching/spielplan/verein/66/saison_id/,Uhlsport Park,15.053,ja,105,68
SSV Reutlingen 05,/ssv-reutlingen-05/spielplan/verein/68/saison_id/,Stadion an der Kreuzeiche,15.228,ja,,
BFC Dynamo,/bfc-dynamo/spielplan/verein/222/saison_id/,Sportforum Hohenschönhausen,4.500,nein,110,72
TuS Erndtebrück,/tus-erndtebruck/spielplan/verein/5263/saison_id/,Pulverwaldstadion,3.000,nein,,
SV 07 Elversberg,/sv-07-elversberg/spielplan/verein/64/saison_id/,Ursapharm-Arena an der Kaiserlinde,10.000,ja,105,68
Sportfreunde Lotte,/sportfreunde-lotte/spielplan/verein/668/saison_id/,Stadion am Lotter Kreuz,10.059,ja,105,68
Hallescher FC,/hallescher-fc/spielplan/verein/440/saison_id/,Leuna-Chemie-Stadion,15.057,ja,105,68
SV Meppen,/sv-meppen/spielplan/verein/247/saison_id/,Hänsch-Arena,13.241,ja,105,68
HSV Barmbek-Uhlenhorst,/hsv-barmbek-uhlenhorst/spielplan/verein/1481/saison_id/,Stadion an der Dieselstraße,3.000,nein,,
Bahlinger SC,/bahlinger-sc/spielplan/verein/1193/saison_id/,Kaiserstuhlstadion,5.000,nein,,
FSV Salmrohr,/fsv-salmrohr/spielplan/verein/442/saison_id/,Salmtalstadion,7.500,nein,105,68
FC Nöttingen,/fc-nottingen/spielplan/verein/1203/saison_id/,Kleiner Arena,3.800,nein,,
FK Pirmasens,/fk-pirmasens/spielplan/verein/726/saison_id/,Framas Stadion,9.999,nein,,
Rot-Weiss Essen,/rot-weiss-essen/spielplan/verein/56/saison_id/,Stadion an der Hafenstraße,19.962,ja,105,68
VfB Lübeck,/vfb-lubeck/spielplan/verein/78/saison_id/,Stadion an der Lohmühle,10.434,ja,,
KSV Hessen Kassel,/ksv-hessen-kassel/spielplan/verein/373/saison_id/,Auestadion,18.737,nein,106,65
FC Hansa Rostock,/fc-hansa-rostock/spielplan/verein/30/saison_id/,Ostseestadion,29.000,ja,120,80
VfL Osnabrück,/vfl-osnabruck/spielplan/verein/81/saison_id/,Bremer Brücke,16.098,ja,105,68
FV Ravensburg,/fv-ravensburg/spielplan/verein/10780/saison_id/,cteam arena,3.000,nein,,
SV Babelsberg 03,/sv-babelsberg-03/spielplan/verein/90/saison_id/,Karl-Liebknecht-Stadion,10.787,nein,,
BFC Preussen,/bfc-preussen/spielplan/verein/4700/saison_id/,Preussenstadion Malteserstraße (Hauptplatz),7.000,nein,98,74
SV Drochtersen/Assel,/sv-drochtersen-assel/spielplan/verein/10213/saison_id/,Kehdinger Stadion,2.500,nein,,
FC 08 Villingen,/fc-08-villingen/spielplan/verein/951/saison_id/,MS-Technologie-Arena,12.000,nein,,
1.FC Germania Egestorf/Langreder,/1-fc-germania-egestorf-langreder/spielplan/verein/10381/saison_id/,Stadion an der Ammerke,3.000,nein,,
SC Hauenstein,/sc-hauenstein/spielplan/verein/2162/saison_id/,Stadion am Neding,3.500,nein,,
Eintracht Norderstedt,/eintracht-norderstedt/spielplan/verein/117/saison_id/,Edmund-Plambeck-Stadion,5.068,nein,,
SG Wattenscheid 09,/sg-wattenscheid-09/spielplan/verein/97/saison_id/,Lohrheidestadion,16.233,nein,,
SSV Jahn Regensburg,/ssv-jahn-regensburg/spielplan/verein/109/saison_id/,Jahnstadion Regensburg,15.210,ja,105,68
FSV Zwickau,/fsv-zwickau/spielplan/verein/275/saison_id/,GGZ-Arena,10.134,ja,,
1.FC Schweinfurt 05,/1-fc-schweinfurt-05/spielplan/verein/103/saison_id/,Sachs-Stadion,16.500,nein,105,68
TuS Koblenz,/tus-koblenz/spielplan/verein/996/saison_id/,Stadion Oberwerth,9.500,ja,105,68
Germania Halberstadt,/germania-halberstadt/spielplan/verein/364/saison_id/,Friedensstadion,5.000,nein,,
Leher TS Bremerhaven,/leher-ts-bremerhaven/spielplan/verein/9470/saison_id/,Bezirkssportanlage Speckenbüttel Platz 2,600,nein,,
1.FC Rielasingen-Arlen,/1-fc-rielasingen-arlen/spielplan/verein/24718/saison_id/,Sportanlage an den Talwiesen Fußballplatz 2,1.760,nein,,
SV Eichede,/sv-eichede/spielplan/verein/4882/saison_id/,Ernst-Wagener-Stadion,3.000,nein,,
Lüneburger SK Hansa,/luneburger-sk-hansa/spielplan/verein/18324/saison_id/,Sportanlage Sülzwiesen (A-Platz),4.000,nein,,
Rot-Weiß Erfurt,/rot-weiss-erfurt/spielplan/verein/111/saison_id/,Steigerwaldstadion,18.711,ja,105,68
Bonner SC,/bonner-sc/spielplan/verein/215/saison_id/,Sportpark Nord,10.164,nein,100,68
SV Morlautern,/sv-morlautern/spielplan/verein/26837/saison_id/,Stadion am Kieferberg,1.000,nein,,
Sportfreunde Dorfmerkingen,/sportfreunde-dorfmerkingen/spielplan/verein/1410/saison_id/,Ingenieurbeton Röser Arena,2.000,nein,,
1.FC Saarbrücken,/1-fc-saarbrucken/spielplan/verein/1/saison_id/,Ludwigsparkstadion,16.003,ja,,
BSG Chemie Leipzig,/bsg-chemie-leipzig/spielplan/verein/9572/saison_id/,Alfred-Kunze-Sportpark,4.999,nein,104,62
SSV Ulm 1846,/ssv-ulm-1846/spielplan/verein/69/saison_id/,Donaustadion,17.400,ja,105,68
SV Rödinghausen,/sv-rodinghausen/spielplan/verein/26957/saison_id/,Häcker Wiehenstadion,3.140,nein,105,68
SC Weiche Flensburg 08,/sc-weiche-flensburg-08/spielplan/verein/10284/saison_id/,Manfred-Werner-Stadion,2.500,nein,,
VfR Wormatia Worms,/vfr-wormatia-worms/spielplan/verein/158/saison_id/,EWR-Arena Worms,5.624,nein,,
SV Linx,/sv-linx/spielplan/verein/657/saison_id/,Hans-Weber Stadion,3.000,nein,,
1.CfR Pforzheim,/1-cfr-pforzheim/spielplan/verein/30006/saison_id/,KRAMSKI-ARENA,6.500,nein,,
TuS Dassendorf,/tus-dassendorf/spielplan/verein/907/saison_id/,Sportanlage Wendelweg,2.500,nein,,
Rot-Weiß Oberhausen,/rot-weiss-oberhausen/spielplan/verein/57/saison_id/,Stadion Niederrhein,17.165,ja,110,75
1.FC Lok Stendal,/1-fc-lok-stendal/spielplan/verein/4043/saison_id/,Stadion am Hölzchen,6.500,nein,,
TSV Steinbach,/tsv-steinbach-haiger/spielplan/verein/39470/saison_id/,SIBRE-Sportzentrum Haarwasen,4.970,nein,,
TSV Steinbach,/tsv-steinbach-haiger/spielplan/verein/39470/saison_id/,SIBRE-Sportzentrum Haarwasen,4.970,nein,,
TuS Rot-Weiß Koblenz,/tus-rot-weiss-koblenz/spielplan/verein/22327/saison_id/,Stadion Oberwerth,9.500,ja,105,68
TuS Rot-Weiß Koblenz,/tus-rot-weiss-koblenz/spielplan/verein/22327/saison_id/,Stadion Oberwerth,9.500,ja,105,68
SSV Jeddeloh II,/ssv-jeddeloh-ii/spielplan/verein/6776/saison_id/,HASKAMP-Arena,2.000,nein,,
BSC Hastedt,/bsc-hastedt/spielplan/verein/29638/saison_id/,Sportanlage Jakobsberg,300,nein,,
SC Verl,/sc-verl/spielplan/verein/93/saison_id/,SPORTCLUB Arena,5.153,nein,,
KFC Uerdingen 05,/kfc-uerdingen-05/spielplan/verein/95/saison_id/,Grotenburg-Stadion,34.500,ja,,
Alemannia Aachen,/alemannia-aachen/spielplan/verein/8/saison_id/,Tivoli,32.960,ja,105,68
FC Viktoria 1889 Berlin,/fc-viktoria-1889-berlin/spielplan/verein/40373/saison_id/,Stadion Lichterfelde,3.600,nein,108,70
FSV Wacker Nordhausen,/fsv-wacker-nordhausen/spielplan/verein/490/saison_id/,Albert-Kuntz-Sportpark Platz 3,1.500,nein,,
KSV Baunatal,/ksv-baunatal/spielplan/verein/1315/saison_id/,Parkstadion,7.578,nein,105,67
SV Atlas Delmenhorst,/sv-atlas-delmenhorst/spielplan/verein/29988/saison_id/,Städtisches Stadion (Platz A),4.999,nein,,
FC Oberneuland,/fc-oberneuland/spielplan/verein/115/saison_id/,Marko Mock Arena,5.050,nein,,
VfB Eichstätt,/vfb-eichstatt/spielplan/verein/5646/saison_id/,Liqui Moly Stadion,3.000,nein,,
SV Waldhof Mannheim,/sv-waldhof-mannheim/spielplan/verein/85/saison_id/,Carl-Benz-Stadion,25.721,nein,,
TSV Havelse,/tsv-havelse/spielplan/verein/476/saison_id/,Wilhelm-Langrehr-Stadion,3.500,nein,105,70
SV Todesfelde,/sv-todesfelde/spielplan/verein/7025/saison_id/,Joda-Sportpark,1.500,nein,,
VSG Altglienicke,/vsg-altglienicke/spielplan/verein/17847/saison_id/,HOWOGE-Arena „Hans Zoschke“,9.900,nein,,
RSV Meinerzhagen,/rsv-meinerzhagen/spielplan/verein/1931/saison_id/,Stadion an der Oststraße,8.000,nein,,
MTV Eintracht Celle,/mtv-eintracht-celle/spielplan/verein/17835/saison_id/,Immobilien-Wilharm-Arena,2.000,nein,,
FV Engers 07,/fv-engers-07/spielplan/verein/2085/saison_id/,Stadion am Wasserturm,4.000,nein,,
FSV Union Fürstenwalde,/fsv-union-furstenwalde/spielplan/verein/5300/saison_id/,Bonava-Arena,5.000,nein,,
SC Wiedenbrück,/sc-wiedenbruck/spielplan/verein/4955/saison_id/,Jahnstadion,2.550,nein,108,69
TSV Steinbach Haiger,/tsv-steinbach-haiger/spielplan/verein/39470/saison_id/,SIBRE-Sportzentrum Haarwasen,4.970,nein,,
TSV Steinbach Haiger,/tsv-steinbach-haiger/spielplan/verein/39470/saison_id/,SIBRE-Sportzentrum Haarwasen,4.970,nein,,
1.FC Düren,/1-fc-duren/spielplan/verein/67453/saison_id/,Westkampfbahn,6.000,nein,,
Greifswalder FC,/greifswalder-fc/spielplan/verein/48991/saison_id/,Volksstadion Greifswald,4.900,nein,,
SpVgg Bayreuth,/spvgg-bayreuth/spielplan/verein/752/saison_id/,Hans-Walter-Wild-Stadion,21.500,ja,,
1. FC Lokomotive Leipzig,/1-fc-lokomotive-leipzig/spielplan/verein/497/saison_id/,Bruno-Plache-Stadion,12.321,nein,104,68
Wuppertaler SV,/wuppertaler-sv/spielplan/verein/299/saison_id/,Stadion am Zoo,23.067,ja,105,68
FC Rot-Weiß Koblenz,/tus-rot-weiss-koblenz/spielplan/verein/22327/saison_id/,Stadion Oberwerth,9.500,ja,105,68
FC Rot-Weiß Koblenz,/tus-rot-weiss-koblenz/spielplan/verein/22327/saison_id/,Stadion Oberwerth,9.500,ja,105,68
VfL Oldenburg,/vfl-oldenburg/spielplan/verein/6128/saison_id/,Hans-Prull-Stadion,3.500,nein,,
Türkgücü München,/turkgucu-munchen/spielplan/verein/12456/saison_id/,Stadion im ATS-Sportpark,2.800,nein,,
1.FC Kaan-Marienborn,/1-fc-kaan-marienborn/spielplan/verein/10226/saison_id/,Herkules Arena,4.000,nein,,
TSG Neustrelitz,/tsg-neustrelitz/spielplan/verein/1151/saison_id/,Parkstadion,7.000,nein,,
SV Straelen,/sv-straelen/spielplan/verein/1068/saison_id/,Stadion Römerstraße,3.500,nein,,
Einheit Wernigerode,/einheit-wernigerode/spielplan/verein/7021/saison_id/,Mannsberg-Stadion,4.000,nein,,
TSV Schott Mainz,/tsv-schott-mainz/spielplan/verein/9695/saison_id/,Bezirkssportanlage Mainz-Mombach,2.500,nein,,
SV Oberachern,/sv-oberachern/spielplan/verein/8354/saison_id/,Waldsee-Stadion,1.600,nein,,
Blau-Weiß Lohne,/blau-weiss-lohne/spielplan/verein/4883/saison_id/,Heinz-Dettmer-Stadion,6.000,nein,,
FC Teutonia 05 Ottensen,/fc-teutonia-05-ottensen/spielplan/verein/14361/saison_id/,Stadion Hoheluft,5.004,nein,,
TuS Bersenbrück,/tus-bersenbruck/spielplan/verein/18603/saison_id/,Hasestadion (A-Platz),3.000,nein,,
TSG Balingen,/tsg-balingen/spielplan/verein/834/saison_id/,Bizerba-Arena (Spielfeld 1),8.000,nein,,
FC Gütersloh,/fc-gutersloh/spielplan/verein/220/saison_id/,Ohlendorf Stadion im Heidewald,12.500,nein,105,68
Rostocker FC 1895,/rostocker-fc-1895/spielplan/verein/5647/saison_id/,Sportplatz Damerower Weg,2.000,nein,,
TuS Makkabi Berlin,/tus-makkabi-berlin/spielplan/verein/5008/saison_id/,Julius-Hirsch-Sportanlage,3.500,nein,,
1.FC Phönix Lübeck,/1-fc-phonix-lubeck/spielplan/verein/2773/saison_id/,Buniamshof,8.549,nein,,
VfV Borussia 06 Hildesheim,/vfv-borussia-06-hildesheim/spielplan/verein/2540/saison_id/,Friedrich-Ebert-Stadion,10.000,nein,105,66
